ID,Area,Location,No_of_Bedrooms,New/Resale,Gymnasium,Lift_Available,Car_Parking,Maintenance_Staff,24x7_Security,Children_Play_Area,Clubhouse,Intercom,Landscaped_Gardens,Indoor_Games,Gas_Connection,Jogging_Track,Swimming_Pool,Price
3207,2800,Chembur,5,0,0,1,1,0,0,0,0,1,0,0,1,0,0,72000000
3208,1500,Juhu,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55000000
3209,1500,Juhu,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,55000000
3210,750,Jogeshwari West,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16500000
3211,950,Jogeshwari West,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15500000
3212,1100,Santacruz East,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,18500000
3213,961,Sion,2,0,0,1,0,0,0,1,1,1,0,0,1,0,0,22500000
3214,638,Wadala,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20299999
3215,949,Chembur,3,1,1,1,0,0,0,1,1,1,0,0,1,0,0,27000000
3216,2475,Dadar East,4,1,1,1,0,0,1,1,1,1,1,0,1,1,1,80000000
3217,1500,Powai,3,0,1,1,1,0,1,1,1,1,1,1,1,1,1,46500000
3218,1270,Chembur,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,27500000
3219,980,Kandivali West,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17500000
3220,850,Dahisar,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14500000
3221,600,Dahisar East,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500000
3222,950,Dahisar,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,21500000
3223,1100,Mulund West,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18500000
3224,1100,Mulund West,2,0,1,1,0,0,0,1,1,1,0,0,1,0,0,18000000
3225,675,Panvel,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,5100000
3226,675,Panvel,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,4700000
3227,1051,Panvel,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1,8844000
3228,670,Andheri East,2,1,1,1,1,0,1,1,1,1,1,0,0,1,1,15400000
3229,890,Andheri East,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,19000000
3230,1100,Andheri East,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,22000000
3231,950,Panvel,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1,7290000
3232,1250,Andheri West,2,0,1,1,0,0,0,0,1,1,0,0,0,0,1,23000000
3233,1900,Andheri West,3,0,1,1,1,1,1,1,1,1,0,1,0,0,1,36000000
3234,1300,Andheri West,2,0,1,1,1,1,1,1,1,1,0,1,0,0,1,24000000
3235,411,Malad East,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,4850000
3236,886,Thane West,2,1,1,1,0,0,0,1,1,1,1,1,0,0,1,11100000
3237,1046,Thane West,2,1,1,1,0,0,0,1,1,1,0,0,0,0,1,12000000
3238,1158,Thane West,2,1,1,1,0,0,0,1,1,1,0,0,0,0,1,13300000
3239,1662,Thane West,3,1,1,1,0,0,0,1,1,1,0,0,0,0,1,18800000
3240,928,Thane West,2,1,1,1,0,0,0,1,1,1,0,0,0,0,1,10800000
3241,750,Malad West,2,0,1,1,0,1,1,1,0,1,0,0,1,0,0,17500000
3242,850,Panvel,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6787000
3243,729,Malad West,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,8100000
3244,750,Jogeshwari West,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,12000000
3245,750,Borivali West,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000000
3246,902,Wadala,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,25600000
3247,1440,Wadala,3,0,1,1,0,0,0,1,1,1,0,0,0,0,1,47500000
3248,1100,Powai,2,0,1,1,1,0,1,0,1,1,1,0,0,1,1,27000000
3249,1015,Ghatkopar East,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13500000
3250,1200,Bandra West,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,60000000
3251,1050,Thane West,2,0,1,1,0,0,0,1,1,1,1,0,1,0,1,9500000
3252,558,Thane West,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,5500000
3253,961,Ulwe,2,0,1,1,1,0,1,0,1,1,1,0,0,1,0,7200000
3254,450,Ulwe,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,3000000
3255,1150,Ulwe,2,0,1,1,1,0,1,0,1,0,0,0,0,0,0,7198999
3256,1150,Ulwe,2,0,0,1,1,0,1,0,1,0,0,0,0,0,0,7500000
3257,550,Ulwe,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3000000
3258,650,Ulwe,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,4000000
3259,950,Mira Road East,2,0,1,1,1,0,1,1,1,1,1,1,0,1,1,8700000
3260,1150,Mira Road East,2,0,0,1,1,0,1,1,0,1,0,0,0,1,0,8500000
3261,1150,Mira Road East,2,0,1,1,1,0,1,1,0,0,1,0,0,1,0,8000000
3262,710,Mira Road East,2,0,1,1,1,0,1,1,0,0,1,0,0,1,1,6800000
3263,681,Mira Road East,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,5500000
3264,1025,Mira Road East,2,0,1,1,1,0,1,1,1,0,0,0,0,1,1,8200000
3265,1080,Mira Road East,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0,7884000
3266,1050,Mira Road East,2,0,1,1,0,0,1,1,1,1,1,0,0,0,1,8000000
3267,1275,Mira Road East,3,0,1,1,0,0,1,1,1,1,1,0,0,0,1,12000000
3268,700,Mira Road East,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,5800000
3269,650,Mira Road East,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,5500000
3270,1015,Mira Road East,2,0,1,1,1,0,1,1,1,1,0,0,0,1,1,8200000
3271,1185,Mira Road East,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9500000
3272,950,Mira Road East,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,8600000
3273,941,Goregaon West,2,1,1,1,0,0,0,1,1,1,0,0,0,0,1,18200000
3274,1189,Goregaon West,3,1,1,1,0,0,0,1,1,1,0,0,0,0,1,25000000
3275,1710,Goregaon West,4,1,1,1,0,0,0,1,1,1,0,0,0,0,1,35700000
3276,1003,Andheri West,2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,28000000
3277,1166,Andheri West,2,1,1,1,1,1,1,1,1,1,1,1,0,0,1,31700000
3278,1509,Andheri West,3,1,1,1,1,1,1,1,1,1,1,1,0,0,1,39000000
3279,1035,Goregaon East,2,1,1,1,0,1,1,1,1,1,1,1,0,0,1,19000000
3280,1355,Goregaon East,3,1,1,1,0,1,1,1,1,1,1,1,0,0,1,22300000
3281,581,Virar,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,3100000
3282,843,Virar,2,1,1,1,0,0,0,1,1,1,1,0,0,0,1,4300000
3283,495,Mira Road East,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,6400000
3284,690,Mira Road East,2,1,1,1,0,0,0,1,1,1,0,1,0,1,1,9100000
3285,676,Thane West,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1,9000000
3286,1020,Thane West,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1,11900000
3287,1214,Thane West,3,1,1,0,0,0,0,0,0,0,0,1,0,1,0,20800000
3288,1639,Thane West,3,1,1,1,0,0,0,1,1,1,0,1,0,1,1,20800000
3289,2519,Thane West,4,1,1,1,0,0,0,1,1,1,0,1,0,1,1,33000000
3290,1050,Borivali West,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16200000
